asset_id,hour,current,vibration,temperature,label
PM-000,0,1.3646,0.3009,38.1215,0
PM-000,1,1.333,0.2957,37.4953,0
PM-000,2,1.3634,0.3218,37.8219,0
PM-000,3,1.3358,0.2984,38.068,0
PM-000,4,1.3016,0.3001,38.4584,0
PM-000,5,1.3956,0.3155,38.3157,0
PM-000,6,1.3341,0.3006,38.5633,0
PM-000,7,1.3502,0.3,37.9726,0
PM-000,8,1.3412,0.3016,38.2774,0
PM-000,9,1.3398,0.3154,37.8995,0
PM-000,10,1.3662,0.3512,38.6371,0
PM-000,11,1.3488,0.3228,37.9763,0
PM-000,12,1.3127,0.3212,38.1176,0
PM-000,13,1.3175,0.2964,37.9399,0
PM-000,14,1.3471,0.3183,38.5454,0
PM-000,15,1.3623,0.3209,38.2169,0
PM-000,16,1.3319,0.2869,38.6089,0
PM-000,17,1.3409,0.3034,38.633,0
PM-000,18,1.3264,0.3221,38.368,0
PM-000,19,1.3236,0.3084,38.5709,0
PM-000,20,1.3603,0.332,38.3805,0
PM-000,21,1.4119,0.2958,38.1594,0
PM-000,22,1.3432,0.2883,38.5918,0
PM-000,23,1.3625,0.3099,38.1187,0
PM-000,24,1.3145,0.2977,38.5022,0
PM-000,25,1.3402,0.3032,38.4295,0
PM-000,26,1.3676,0.3134,38.3734,0
PM-000,27,1.3718,0.3122,38.1863,0
PM-000,28,1.3579,0.3057,38.1687,0
PM-000,29,1.3699,0.3052,37.4825,0
PM-000,30,1.3513,0.3036,38.1923,0
PM-000,31,1.3535,0.3071,38.3435,0
PM-000,32,1.304,0.2954,38.7002,0
PM-000,33,1.344,0.2845,37.9573,0
PM-000,34,1.3246,0.3111,38.1493,0
PM-000,35,1.3312,0.3096,38.4224,0
PM-000,36,1.3392,0.3009,38.1526,0
PM-000,37,1.3512,0.3095,38.5092,0
PM-000,38,1.3214,0.2979,38.511,0
PM-000,39,1.3284,0.3303,38.7006,0
PM-000,40,1.3723,0.2964,38.3021,0
PM-000,41,1.3345,0.3234,38.791,0
PM-000,42,1.3619,0.3097,38.1694,0
PM-000,43,1.3574,0.2912,38.4399,0
PM-000,44,1.3261,0.3189,38.2308,0
PM-000,45,1.3366,0.2963,38.172,0
PM-000,46,1.3555,0.3252,38.437,0
PM-000,47,1.3717,0.3477,38.1817,0
PM-000,48,1.3403,0.288,38.6363,0
PM-000,49,1.3704,0.2966,38.4643,0
PM-000,50,1.3687,0.313,38.5333,0
PM-000,51,1.3479,0.2913,38.5938,0
PM-000,52,1.3709,0.3206,37.9927,0
PM-000,53,1.3294,0.2926,38.51,0
PM-000,54,1.3698,0.3159,38.5612,0
PM-000,55,1.3271,0.3118,37.8681,0
PM-000,56,1.329,0.3227,38.2072,0
PM-000,57,1.3686,0.3176,39.0994,0
PM-000,58,1.3463,0.2885,38.2687,0
PM-000,59,1.3251,0.3242,38.2916,0
PM-000,60,1.3417,0.3077,38.5011,0
PM-000,61,1.3354,0.3212,38.5927,0
PM-000,62,1.3376,0.2957,38.1252,0
PM-000,63,1.3586,0.311,38.4681,0
PM-000,64,1.3797,0.313,38.0364,0
PM-000,65,1.3656,0.3103,38.5408,0
PM-000,66,1.3657,0.2952,38.6936,0
PM-000,67,1.3625,0.3005,38.3704,0
PM-000,68,1.3496,0.3099,38.5406,0
PM-000,69,1.3732,0.3097,38.6783,0
PM-000,70,1.3642,0.3131,38.3319,0
PM-000,71,1.3214,0.2871,38.3285,0
PM-000,72,1.3273,0.309,38.1186,0
PM-000,73,1.3086,0.3149,38.1547,0
PM-000,74,1.346,0.2962,38.1786,0
PM-000,75,1.3756,0.3115,38.4439,0
PM-000,76,1.319,0.3454,38.8321,0
PM-000,77,1.3717,0.322,38.2836,0
PM-000,78,1.3532,0.3253,38.0905,0
PM-000,79,1.3355,0.2845,38.0475,0
PM-000,80,1.3776,0.3046,38.1837,0
PM-000,81,1.3508,0.2854,38.5627,0
PM-000,82,1.3697,0.3152,38.7744,0
PM-000,83,1.3179,0.3372,38.0598,0
PM-000,84,1.3188,0.306,38.8406,0
PM-000,85,1.344,0.2956,37.8906,0
PM-000,86,1.3423,0.2796,37.889,0
PM-000,87,1.3753,0.3294,38.2405,0
PM-000,88,1.3351,0.3104,38.9834,0
PM-000,89,1.3525,0.3232,38.2183,0
PM-000,90,1.3456,0.3193,38.3169,0
PM-000,91,1.3065,0.3288,38.0945,0
PM-000,92,1.3866,0.3199,38.3003,0
PM-000,93,1.3532,0.3079,38.1331,0
PM-000,94,1.3486,0.3228,38.1397,0
PM-000,95,1.332,0.3042,38.5646,0
